1034	2022.09.24	26	31	32	33	38	40
1033	2022.09.17	3	11	15	20	35	44
1032	2022.09.10	1	6	12	19	36	42
1031	2022.09.03	6	7	22	32	35	36
1030	2022.08.27	2	5	11	17	24	29
1029	2022.08.20	12	30	32	37	39	41
1028	2022.08.13	5	7	12	13	18	35
1027	2022.08.06	14	16	27	35	39	45
1026	2022.07.30	5	12	13	31	32	41
1025	2022.07.23	8	9	20	25	29	33
1024	2022.07.16	9	18	20	22	38	44
1023	2022.07.09	10	14	16	18	29	35
1022	2022.07.02	5	6	11	29	42	45
1021	2022.06.25	12	15	17	24	29	45
1020	2022.06.18	12	27	29	38	41	45
1019	2022.06.11	1	4	13	17	34	39
1018	2022.06.04	3	19	21	25	37	45
1017	2022.05.28	12	18	22	23	30	34
1016	2022.05.21	15	26	28	34	41	42
1015	2022.05.14	14	23	31	33	37	40
1014	2022.05.07	3	11	14	18	26	27
1013	2022.04.30	21	22	26	34	36	41
1012	2022.04.23	5	11	18	20	35	45
1011	2022.04.16	1	9	12	26	35	38
1010	2022.04.09	9	12	15	25	34	36
1009	2022.04.02	15	23	29	34	40	44
1008	2022.03.26	9	11	30	31	41	44
1007	2022.03.19	8	11	16	19	21	25
1006	2022.03.12	8	11	15	16	17	37
1005	2022.03.05	8	13	18	24	27	29
1004	2022.02.26	7	15	30	37	39	44
1003	2022.02.19	1	4	29	39	43	45
1002	2022.02.12	17	25	33	35	38	45
1001	2022.02.05	6	10	12	14	20	42
1000	2022.01.29	2	8	19	22	32	42
999	2022.01.22	1	3	9	14	18	28
998	2022.01.15	13	17	18	20	42	45
997	2022.01.08	4	7	14	16	24	44
996	2022.01.01	6	11	15	24	32	39
995	2021.12.25	1	4	13	29	38	39
994	2021.12.18	1	3	8	24	27	35
993	2021.12.11	6	14	16	18	24	42
992	2021.12.04	12	20	26	33	44	45
991	2021.11.27	13	18	25	31	33	44
990	2021.11.20	2	4	25	26	36	37
989	2021.11.13	17	18	21	27	29	33
